Dataset,#TrainingRelease,%Training (data on training / total data),%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
openjpaProportion_without_duplicated_lines,7,0.243,0.779,0.889,Ibk,OVERSAMPLING,NONE,NONE,1128.0,68.0,92.0,153.0,0.943,0.881,0.748,0.37
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,RandomForest,OVERSAMPLING,NONE,NONE,531.0,10.0,89.0,98.0,0.982,0.844,0.914,0.541
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,NaiveBayes,OVERSAMPLING,NONE,NONE,330.0,10.0,89.0,299.0,0.971,0.525,0.838,0.19
openjpaProportion_without_duplicated_lines,8,0.31,0.802,0.864,Ibk,OVERSAMPLING,NONE,NONE,515.0,14.0,85.0,114.0,0.974,0.819,0.849,0.475
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,RandomForest,OVERSAMPLING,NONE,NONE,1393.0,748.0,168.0,78.0,0.651,0.947,0.759,0.151
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,NaiveBayes,OVERSAMPLING,NONE,NONE,846.0,149.0,767.0,625.0,0.85,0.575,0.742,0.376
openjpaProportion_without_duplicated_lines,9,0.343,0.809,0.616,Ibk,OVERSAMPLING,NONE,NONE,1341.0,693.0,223.0,130.0,0.659,0.912,0.581,0.175
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,RandomForest,OVERSAMPLING,NONE,NONE,887.0,80.0,108.0,88.0,0.917,0.91,0.788,0.476
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,NaiveBayes,OVERSAMPLING,NONE,NONE,190.0,4.0,184.0,785.0,0.979,0.195,0.777,0.065
openjpaProportion_without_duplicated_lines,10,0.454,0.762,0.838,Ibk,OVERSAMPLING,NONE,NONE,701.0,75.0,113.0,274.0,0.903,0.719,0.675,0.224
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,RandomForest,OVERSAMPLING,NONE,NONE,1065.0,101.0,554.0,363.0,0.913,0.746,0.846,0.534
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,NaiveBayes,OVERSAMPLING,NONE,NONE,361.0,25.0,630.0,1067.0,0.935,0.253,0.795,0.15
openjpaProportion_without_duplicated_lines,11,0.508,0.77,0.686,Ibk,OVERSAMPLING,NONE,NONE,1174.0,491.0,164.0,254.0,0.705,0.822,0.492,0.08
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,RandomForest,OVERSAMPLING,NONE,NONE,280.0,31.0,151.0,207.0,0.9,0.575,0.719,0.311
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,NaiveBayes,OVERSAMPLING,NONE,NONE,159.0,2.0,180.0,328.0,0.988,0.326,0.794,0.202
openjpaProportion_without_duplicated_lines,12,0.605,0.756,0.728,Ibk,OVERSAMPLING,NONE,NONE,277.0,42.0,140.0,210.0,0.868,0.569,0.665,0.262
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,RandomForest,OVERSAMPLING,NONE,NONE,396.0,46.0,162.0,149.0,0.896,0.727,0.812,0.438
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,NaiveBayes,OVERSAMPLING,NONE,NONE,192.0,6.0,202.0,353.0,0.97,0.352,0.766,0.213
openjpaProportion_without_duplicated_lines,13,0.636,0.755,0.724,Ibk,OVERSAMPLING,NONE,NONE,388.0,46.0,162.0,157.0,0.894,0.712,0.79,0.421
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,RandomForest,OVERSAMPLING,NONE,NONE,338.0,34.0,173.0,148.0,0.909,0.695,0.807,0.459
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,NaiveBayes,OVERSAMPLING,NONE,NONE,161.0,5.0,202.0,325.0,0.97,0.331,0.78,0.213
openjpaProportion_without_duplicated_lines,14,0.671,0.753,0.701,Ibk,OVERSAMPLING,NONE,NONE,334.0,55.0,152.0,152.0,0.859,0.687,0.723,0.372
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,RandomForest,OVERSAMPLING,NONE,NONE,447.0,81.0,166.0,151.0,0.847,0.747,0.774,0.387
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,NaiveBayes,OVERSAMPLING,NONE,NONE,232.0,15.0,232.0,366.0,0.939,0.388,0.753,0.231
openjpaProportion_without_duplicated_lines,15,0.703,0.751,0.708,Ibk,OVERSAMPLING,NONE,NONE,411.0,69.0,178.0,187.0,0.856,0.687,0.716,0.358
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,RandomForest,OVERSAMPLING,NONE,NONE,621.0,58.0,115.0,73.0,0.915,0.895,0.884,0.542
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,NaiveBayes,OVERSAMPLING,NONE,NONE,496.0,61.0,112.0,198.0,0.89,0.715,0.757,0.279
openjpaProportion_without_duplicated_lines,16,0.742,0.749,0.8,Ibk,OVERSAMPLING,NONE,NONE,594.0,82.0,91.0,100.0,0.879,0.856,0.736,0.368
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,RandomForest,OVERSAMPLING,NONE,NONE,1111.0,365.0,977.0,400.0,0.753,0.735,0.796,0.463
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,NaiveBayes,OVERSAMPLING,NONE,NONE,793.0,177.0,1165.0,718.0,0.818,0.525,0.772,0.384
openjpaProportion_without_duplicated_lines,17,0.782,0.751,0.53,Ibk,OVERSAMPLING,NONE,NONE,1183.0,930.0,412.0,328.0,0.56,0.783,0.544,0.092
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,RandomForest,OVERSAMPLING,NONE,NONE,346.0,72.0,157.0,194.0,0.828,0.641,0.716,0.283
openjpaProportion_without_duplicated_lines,18,0.914,0.719,0.702,NaiveBayes,OVERSAMPLING,NONE,NONE,218.0,15.0,214.0,322.0,0.936,0.404,0.74,0.244
