Version,File Name,LOC,NR,NFix,NAuth,LOC_added,MAX_LOC_added,Churn,MAX_Churn,Age,Buggy
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,40,3,0,3,91,87,88,87,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,38,4,0,4,78,70,71,70,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,60,4,0,4,123,113,114,113,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,165,6,2,6,414,329,336,329,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,46,4,0,4,93,83,84,83,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,29,3,0,3,63,58,58,58,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,63,4,0,4,130,122,123,122,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,186,1,0,1,369,369,369,369,2,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,121,5,0,5,243,224,231,224,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,366,4,0,4,645,585,586,585,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,202,5,0,5,390,365,366,365,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,50,4,0,4,108,98,99,98,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,17,1,0,1,41,41,41,41,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,34,2,0,2,79,65,66,65,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,6,2,0,2,51,47,47,47,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,93,4,1,4,203,185,183,185,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,26,1,0,1,49,49,49,49,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,24,1,0,1,50,50,50,50,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,61,2,0,2,100,97,98,97,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,72,1,0,1,138,138,138,138,35,Yes
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,18,1,0,1,43,43,43,43,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,18,1,0,1,42,42,42,42,35,No
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,29,1,0,1,56,56,56,56,35,Yes
1,hedwig-client/src/test/java/org/apache/hedwig/client/AppTest.java,15,2,0,2,52,51,51,51,35,No
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestFileUtils.java,18,1,0,1,41,41,41,41,35,Yes
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,72,2,0,2,111,104,104,104,35,Yes
1,hedwig-client/src/test/java/org/apache/hedwig/util/TestPathUtils.java,29,1,0,1,54,54,54,54,35,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,114,2,0,2,163,162,162,162,35,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,5701,2,1,2,12222,6127,6367,6095,13,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,90,2,0,2,155,153,153,153,35,No
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,17,1,0,1,43,43,43,43,35,Yes
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,14,2,0,2,42,41,41,41,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,61,3,0,3,155,104,105,104,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,67,5,2,5,148,103,105,103,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,53,4,0,4,126,91,92,91,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,69,3,0,3,151,100,101,100,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,18,1,0,1,45,45,45,45,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,11,2,0,2,35,31,32,31,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,74,1,0,1,111,111,111,111,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,10,2,0,2,36,35,35,35,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,47,1,0,1,81,81,81,81,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,6,1,0,1,27,27,27,27,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,6,1,0,1,28,28,28,28,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,9,2,0,2,30,29,29,29,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,309,4,1,4,600,561,566,561,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,37,2,0,2,80,64,64,64,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,5,2,0,2,30,29,29,29,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,36,2,0,2,65,64,64,64,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,6,2,0,2,40,37,37,37,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,41,2,0,2,79,68,68,68,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,100,3,0,3,165,153,154,153,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,45,2,0,2,73,72,72,72,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,271,6,2,6,400,364,385,364,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,37,2,0,2,78,76,76,76,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,108,3,0,3,163,158,159,158,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,493,3,0,3,886,736,737,736,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,47,2,0,2,76,74,74,74,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,54,3,0,3,97,93,94,93,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,4,1,0,1,22,22,22,22,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,293,3,0,3,439,426,427,426,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,32,1,0,1,62,62,62,62,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,28,2,0,2,59,58,58,58,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,12,2,0,2,96,91,91,91,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,4,2,0,2,28,27,27,27,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,37,2,0,2,79,77,77,77,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,337,3,0,3,742,703,704,703,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,10,2,0,2,67,63,63,63,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,15,1,0,1,37,37,37,37,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,27,2,0,2,65,64,64,64,35,No
