@relation openjpaProportion-weka.filters.unsupervised.attribute.SwapValues-Clast-Ffirst-Slast-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute LOC numeric
@attribute NR numeric
@attribute NFix numeric
@attribute NAuth numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute Age numeric
@attribute Buggy {Yes,No}

@data
1,91,8,0,8,396,187,183,175,45,Yes
1,140,8,0,8,467,225,221,212,45,Yes
1,7,7,0,7,159,65,57,52,45,Yes
1,8,8,0,8,153,63,59,55,45,No
1,23,8,0,8,168,66,61,61,45,Yes
1,594,14,2,14,1981,940,888,869,45,Yes
1,48,8,0,8,344,157,153,147,45,No
1,80,7,0,7,275,126,126,121,45,Yes
1,5,7,0,7,81,29,29,26,45,No
1,423,17,5,17,1478,666,660,612,45,Yes
1,66,6,0,6,240,109,109,105,45,No
1,30,7,0,7,181,80,80,75,45,Yes
1,223,9,1,9,745,315,315,299,45,Yes
1,68,8,0,8,368,169,169,154,45,Yes
1,117,13,2,13,421,193,181,188,45,Yes
1,207,11,0,11,705,335,331,317,45,Yes
1,364,11,1,11,1057,502,505,474,45,Yes
1,5,7,0,7,93,35,35,32,45,No
1,6,7,1,7,104,38,38,35,45,Yes
1,97,15,0,15,358,143,155,129,45,Yes
1,118,11,2,11,1460,665,679,652,45,Yes
1,21,8,0,8,231,101,101,97,45,Yes
1,3637,49,9,49,10380,4980,4884,4565,45,Yes
1,40,6,0,6,172,75,75,71,45,No
1,6,7,0,7,109,42,42,39,45,No
1,1158,14,2,14,3075,1496,1377,1333,45,Yes
1,127,8,0,8,431,205,193,187,45,Yes
1,117,8,0,8,407,193,182,176,45,Yes
1,373,11,1,11,1055,495,470,447,45,Yes
1,523,10,1,10,1478,723,646,649,45,Yes
1,327,8,0,8,968,473,435,429,45,Yes
1,74,7,0,7,292,136,131,125,45,No
1,130,8,0,8,426,199,199,194,45,Yes
1,565,19,4,19,1841,822,805,768,45,Yes
1,6,8,1,8,111,40,40,37,45,Yes
1,117,12,0,12,402,191,187,173,45,Yes
1,743,19,1,19,1936,930,926,901,45,Yes
1,446,14,1,14,1219,591,596,583,45,Yes
1,45,7,0,7,191,84,83,79,45,Yes
1,43,7,0,7,185,81,80,76,45,Yes
1,37,7,0,7,167,72,71,67,45,Yes
1,49,7,0,7,199,88,87,83,45,Yes
1,37,8,0,8,179,77,74,71,45,Yes
1,469,14,1,14,1532,665,732,627,45,Yes
1,14,16,0,10,514,137,162,133,45,Yes
1,65,16,0,13,869,357,456,328,45,Yes
1,55,13,1,13,788,316,326,312,45,Yes
1,544,18,3,18,1509,436,698,410,45,Yes
1,681,15,0,15,1848,867,895,822,45,Yes
1,5,7,0,7,106,40,40,37,45,No
1,42,7,0,7,186,81,80,76,45,Yes
1,20,7,0,7,149,63,62,58,45,Yes
1,255,6,0,6,825,407,406,385,45,Yes
1,137,8,1,8,454,208,202,187,45,Yes
1,16,7,0,7,251,108,108,103,45,Yes
1,192,10,0,10,570,260,255,237,45,Yes
1,14,6,0,6,96,38,38,34,45,Yes
1,554,14,1,14,1580,745,748,728,45,Yes
1,18,7,0,7,132,52,52,48,45,No
1,54,7,0,7,276,124,124,119,45,Yes
1,83,12,0,12,1075,495,497,488,45,Yes
